"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Louisiana"	"22"	"1973"	"1973"	"Female"	"F"	102	1946060	5.2	0.0%
	"Louisiana"	"22"	"1973"	"1973"	"Male"	"M"	289	1841158	15.7	0.1%
"Total"	"Louisiana"	"22"	"1973"	"1973"			391	3787218	10.3	0.1%
	"Louisiana"	"22"	"1974"	"1974"	"Female"	"F"	89	1961600	4.5	0.0%
	"Louisiana"	"22"	"1974"	"1974"	"Male"	"M"	318	1858685	17.1	0.1%
"Total"	"Louisiana"	"22"	"1974"	"1974"			407	3820285	10.7	0.1%
	"Louisiana"	"22"	"1975"	"1975"	"Female"	"F"	122	1996011	6.1	0.0%
	"Louisiana"	"22"	"1975"	"1975"	"Male"	"M"	338	1893517	17.9	0.1%
"Total"	"Louisiana"	"22"	"1975"	"1975"			460	3889528	11.8	0.2%
	"Louisiana"	"22"	"1976"	"1976"	"Female"	"F"	97	2036406	4.8	0.0%
	"Louisiana"	"22"	"1976"	"1976"	"Male"	"M"	337	1920160	17.6	0.1%
"Total"	"Louisiana"	"22"	"1976"	"1976"			434	3956566	11.0	0.2%
	"Louisiana"	"22"	"1977"	"1977"	"Female"	"F"	134	2070620	6.5	0.0%
	"Louisiana"	"22"	"1977"	"1977"	"Male"	"M"	359	1954238	18.4	0.1%
"Total"	"Louisiana"	"22"	"1977"	"1977"			493	4024858	12.2	0.2%
	"Louisiana"	"22"	"1978"	"1978"	"Female"	"F"	125	2099338	6.0	0.0%
	"Louisiana"	"22"	"1978"	"1978"	"Male"	"M"	346	1981529	17.5	0.1%
"Total"	"Louisiana"	"22"	"1978"	"1978"			471	4080867	11.5	0.2%
"Total"	"Louisiana"	"22"					4360	41874087	10.4	1.6%
	"Maine"	"23"	"1968"	"1968"	"Female"	"F"	22	496021	4.4	0.0%
	"Maine"	"23"	"1968"	"1968"	"Male"	"M"	68	472227	14.4	0.0%
"Total"	"Maine"	"23"	"1968"	"1968"			90	968248	9.3	0.0%
	"Maine"	"23"	"1969"	"1969"	"Female"	"F"	27	503364	5.4	0.0%
	"Maine"	"23"	"1969"	"1969"	"Male"	"M"	96	478395	20.1	0.0%
"Total"	"Maine"	"23"	"1969"	"1969"			123	981759	12.5	0.0%
	"Maine"	"23"	"1970"	"1970"	"Female"	"F"	30	509542	5.9	0.0%
	"Maine"	"23"	"1970"	"1970"	"Male"	"M"	97	484997	20.0	0.0%
"Total"	"Maine"	"23"	"1970"	"1970"			127	994539	12.8	0.0%
	"Maine"	"23"	"1971"	"1971"	"Female"	"F"	27	520236	5.2	0.0%
	"Maine"	"23"	"1971"	"1971"	"Male"	"M"	107	496122	21.6	0.0%
"Total"	"Maine"	"23"	"1971"	"1971"			134	1016358	13.2	0.0%
	"Maine"	"23"	"1972"	"1972"	"Female"	"F"	24	529075	4.5	0.0%
	"Maine"	"23"	"1972"	"1972"	"Male"	"M"	110	504871	21.8	0.0%
"Total"	"Maine"	"23"	"1972"	"1972"			134	1033946	13.0	0.0%
	"Maine"	"23"	"1973"	"1973"	"Female"	"F"	43	534869	8.0	0.0%
	"Maine"	"23"	"1973"	"1973"	"Male"	"M"	107	510366	21.0	0.0%
"Total"	"Maine"	"23"	"1973"	"1973"			150	1045235	14.4	0.1%
	"Maine"	"23"	"1974"	"1974"	"Female"	"F"	34	542465	6.3	0.0%
	"Maine"	"23"	"1974"	"1974"	"Male"	"M"	105	516122	20.3	0.0%
"Total"	"Maine"	"23"	"1974"	"1974"			139	1058587	13.1	0.1%
	"Maine"	"23"	"1975"	"1975"	"Female"	"F"	30	550212	5.5	0.0%
	"Maine"	"23"	"1975"	"1975"	"Male"	"M"	98	522041	18.8	0.0%
"Total"	"Maine"	"23"	"1975"	"1975"			128	1072253	11.9	0.0%
	"Maine"	"23"	"1976"	"1976"	"Female"	"F"	29	559028	5.2	0.0%
	"Maine"	"23"	"1976"	"1976"	"Male"	"M"	106	530199	20.0	0.0%
"Total"	"Maine"	"23"	"1976"	"1976"			135	1089227	12.4	0.0%
	"Maine"	"23"	"1977"	"1977"	"Female"	"F"	30	567675	5.3	0.0%
	"Maine"	"23"	"1977"	"1977"	"Male"	"M"	110	538217	20.4	0.0%
"Total"	"Maine"	"23"	"1977"	"1977"			140	1105892	12.7	0.1%
	"Maine"	"23"	"1978"	"1978"	"Female"	"F"	39	573148	6.8	0.0%
	"Maine"	"23"	"1978"	"1978"	"Male"	"M"	113	542540	20.8	0.0%
"Total"	"Maine"	"23"	"1978"	"1978"			152	1115688	13.6	0.1%
"Total"	"Maine"	"23"					1452	11481732	12.6	0.5%
	"Maryland"	"24"	"1968"	"1968"	"Female"	"F"	115	1943946	5.9	0.0%
	"Maryland"	"24"	"1968"	"1968"	"Male"	"M"	282	1864518	15.1	0.1%
"Total"	"Maryland"	"24"	"1968"	"1968"			397	3808464	10.4	0.1%
	"Maryland"	"24"	"1969"	"1969"	"Female"	"F"	121	1978431	6.1	0.0%
	"Maryland"	"24"	"1969"	"1969"	"Male"	"M"	302	1891469	16.0	0.1%
"Total"	"Maryland"	"24"	"1969"	"1969"			423	3869900	10.9	0.2%
	"Maryland"	"24"	"1970"	"1970"	"Female"	"F"	117	2006502	5.8	0.0%
	"Maryland"	"24"	"1970"	"1970"	"Male"	"M"	310	1917347	16.2	0.1%
"Total"	"Maryland"	"24"	"1970"	"1970"			427	3923849	10.9	0.2%
	"Maryland"	"24"	"1971"	"1971"	"Female"	"F"	129	2056302	6.3	0.0%
	"Maryland"	"24"	"1971"	"1971"	"Male"	"M"	300	1963417	15.3	0.1%
"Total"	"Maryland"	"24"	"1971"	"1971"			429	4019719	10.7	0.2%
	"Maryland"	"24"	"1972"	"1972"	"Female"	"F"	144	2083952	6.9	0.1%
	"Maryland"	"24"	"1972"	"1972"	"Male"	"M"	350	1988853	17.6	0.1%
"Total"	"Maryland"	"24"	"1972"	"1972"			494	4072805	12.1	0.2%
	"Maryland"	"24"	"1973"	"1973"	"Female"	"F"	135	2099320	6.4	0.0%
	"Maryland"	"24"	"1973"	"1973"	"Male"	"M"	286	1999470	14.3	0.1%
"Total"	"Maryland"	"24"	"1973"	"1973"			421	4098790	10.3	0.2%
	"Maryland"	"24"	"1974"	"1974"	"Female"	"F"	117	2116207	5.5	0.0%
	"Maryland"	"24"	"1974"	"1974"	"Male"	"M"	318	2009482	15.8	0.1%
"Total"	"Maryland"	"24"	"1974"	"1974"			435	4125689	10.5	0.2%
	"Maryland"	"24"	"1975"	"1975"	"Female"	"F"	122	2132000	5.7	0.0%
	"Maryland"	"24"	"1975"	"1975"	"Male"	"M"	338	2019738	16.7	0.1%
"Total"	"Maryland"	"24"	"1975"	"1975"			460	4151738	11.1	0.2%
	"Maryland"	"24"	"1976"	"1976"	"Female"	"F"	116	2142624	5.4	0.0%
	"Maryland"	"24"	"1976"	"1976"	"Male"	"M"	360	2026533	17.8	0.1%
"Total"	"Maryland"	"24"	"1976"	"1976"			476	4169157	11.4	0.2%
	"Maryland"	"24"	"1977"	"1977"	"Female"	"F"	112	2158646	5.2	0.0%
	"Maryland"	"24"	"1977"	"1977"	"Male"	"M"	388	2037066	19.0	0.1%
"Total"	"Maryland"	"24"	"1977"	"1977"			500	4195712	11.9	0.2%
	"Maryland"	"24"	"1978"	"1978"	"Female"	"F"	107	2169247	4.9	0.0%
	"Maryland"	"24"	"1978"	"1978"	"Male"	"M"	346	2043294	16.9	0.1%
"Total"	"Maryland"	"24"	"1978"	"1978"			453	4212541	10.8	0.2%
"Total"	"Maryland"	"24"					4915	44648364	11.0	1.8%
	"Massachusetts"	"25"	"1968"	"1968"	"Female"	"F"	127	2942664	4.3	0.0%
	"Massachusetts"	"25"	"1968"	"1968"	"Male"	"M"	282	2699120	10.4	0.1%
"Total"	"Massachusetts"	"25"	"1968"	"1968"			409	5641784	7.2	0.1%
	"Massachusetts"	"25"	"1969"	"1969"	"Female"	"F"	147	2955695	5.0	0.1%
	"Massachusetts"	"25"	"1969"	"1969"	"Male"	"M"	317	2705373	11.7	0.1%
"Total"	"Massachusetts"	"25"	"1969"	"1969"			464	5661068	8.2	0.2%
	"Massachusetts"	"25"	"1970"	"1970"	"Female"	"F"	154	2969288	5.2	0.1%
	"Massachusetts"	"25"	"1970"	"1970"	"Male"	"M"	324	2720438	11.9	0.1%
"Total"	"Massachusetts"	"25"	"1970"	"1970"			478	5689726	8.4	0.2%
	"Massachusetts"	"25"	"1971"	"1971"	"Female"	"F"	159	2991908	5.3	0.1%
	"Massachusetts"	"25"	"1971"	"1971"	"Male"	"M"	313	2741628	11.4	0.1%
"Total"	"Massachusetts"	"25"	"1971"	"1971"			472	5733536	8.2	0.2%
	"Massachusetts"	"25"	"1972"	"1972"	"Female"	"F"	134	2999959	4.5	0.0%
	"Massachusetts"	"25"	"1972"	"1972"	"Male"	"M"	332	2750411	12.1	0.1%
"Total"	"Massachusetts"	"25"	"1972"	"1972"			466	5750370	8.1	0.2%
	"Massachusetts"	"25"	"1973"	"1973"	"Female"	"F"	144	3012066	4.8	0.1%
	"Massachusetts"	"25"	"1973"	"1973"	"Male"	"M"	368	2758938	13.3	0.1%
"Total"	"Massachusetts"	"25"	"1973"	"1973"			512	5771004	8.9	0.2%
	"Massachusetts"	"25"	"1974"	"1974"	"Female"	"F"	131	3012925	4.3	0.0%
	"Massachusetts"	"25"	"1974"	"1974"	"Male"	"M"	349	2753641	12.7	0.1%
"Total"	"Massachusetts"	"25"	"1974"	"1974"			480	5766566	8.3	0.2%
	"Massachusetts"	"25"	"1975"	"1975"	"Female"	"F"	136	3010011	4.5	0.0%
	"Massachusetts"	"25"	"1975"	"1975"	"Male"	"M"	410	2744510	14.9	0.1%
"Total"	"Massachusetts"	"25"	"1975"	"1975"			546	5754521	9.5	0.2%
	"Massachusetts"	"25"	"1976"	"1976"	"Female"	"F"	124	3005199	4.1	0.0%
	"Massachusetts"	"25"	"1976"	"1976"	"Male"	"M"	397	2738083	14.5	0.1%
"Total"	"Massachusetts"	"25"	"1976"	"1976"			521	5743282	9.1	0.2%
	"Massachusetts"	"25"	"1977"	"1977"	"Female"	"F"	159	3005838	5.3	0.1%
	"Massachusetts"	"25"	"1977"	"1977"	"Male"	"M"	397	2736724	14.5	0.1%
"Total"	"Massachusetts"	"25"	"1977"	"1977"			556	5742562	9.7	0.2%
	"Massachusetts"	"25"	"1978"	"1978"	"Female"	"F"	146	3007126	4.9	0.1%
	"Massachusetts"	"25"	"1978"	"1978"	"Male"	"M"	365	2736010	13.3	0.1%
"Total"	"Massachusetts"	"25"	"1978"	"1978"			511	5743136	8.9	0.2%
"Total"	"Massachusetts"	"25"					5415	62997555	8.6	2.0%
	"Michigan"	"26"	"1968"	"1968"	"Female"	"F"	266	4481508	5.9	0.1%
	"Michigan"	"26"	"1968"	"1968"	"Male"	"M"	662	4311648	15.4	0.2%
"Total"	"Michigan"	"26"	"1968"	"1968"			928	8793156	10.6	0.3%
	"Michigan"	"26"	"1969"	"1969"	"Female"	"F"	268	4508339	5.9	0.1%
	"Michigan"	"26"	"1969"	"1969"	"Male"	"M"	668	4329375	15.4	0.2%
"Total"	"Michigan"	"26"	"1969"	"1969"			936	8837714	10.6	0.3%
	"Michigan"	"26"	"1970"	"1970"	"Female"	"F"	279	4534497	6.2	0.1%
	"Michigan"	"26"	"1970"	"1970"	"Male"	"M"	695	4358177	15.9	0.3%
"Total"	"Michigan"	"26"	"1970"	"1970"			974	8892674	11.0	0.4%
	"Michigan"	"26"	"1971"	"1971"	"Female"	"F"	334	4574597	7.3	0.1%
	"Michigan"	"26"	"1971"	"1971"	"Male"	"M"	747	4399567	17.0	0.3%
"Total"	"Michigan"	"26"	"1971"	"1971"			1081	8974164	12.0	0.4%
	"Michigan"	"26"	"1972"	"1972"	"Female"	"F"	270	4594097	5.9	0.1%
	"Michigan"	"26"	"1972"	"1972"	"Male"	"M"	786	4420184	17.8	0.3%
"Total"	"Michigan"	"26"	"1972"	"1972"			1056	9014281	11.7	0.4%
	"Michigan"	"26"	"1973"	"1973"	"Female"	"F"	280	4618640	6.1	0.1%
	"Michigan"	"26"	"1973"	"1973"	"Male"	"M"	793	4440721	17.9	0.3%
"Total"	"Michigan"	"26"	"1973"	"1973"			1073	9059361	11.8	0.4%
	"Michigan"	"26"	"1974"	"1974"	"Female"	"F"	338	4641775	7.3	0.1%
	"Michigan"	"26"	"1974"	"1974"	"Male"	"M"	843	4455916	18.9	0.3%
"Total"	"Michigan"	"26"	"1974"	"1974"			1181	9097691	13.0	0.4%
	"Michigan"	"26"	"1975"	"1975"	"Female"	"F"	300	4646974	6.5	0.1%
	"Michigan"	"26"	"1975"	"1975"	"Male"	"M"	836	4450759	18.8	0.3%
"Total"	"Michigan"	"26"	"1975"	"1975"			1136	9097733	12.5	0.4%
	"Michigan"	"26"	"1976"	"1976"	"Female"	"F"	319	4655839	6.9	0.1%
	"Michigan"	"26"	"1976"	"1976"	"Male"	"M"	867	4455435	19.5	0.3%
"Total"	"Michigan"	"26"	"1976"	"1976"			1186	9111274	13.0	0.4%
	"Michigan"	"26"	"1977"	"1977"	"Female"	"F"	323	4683753	6.9	0.1%
	"Michigan"	"26"	"1977"	"1977"	"Male"	"M"	955	4476506	21.3	0.3%
"Total"	"Michigan"	"26"	"1977"	"1977"			1278	9160259	14.0	0.5%
	"Michigan"	"26"	"1978"	"1978"	"Female"	"F"	286	4711592	6.1	0.1%
	"Michigan"	"26"	"1978"	"1978"	"Male"	"M"	846	4494155	18.8	0.3%
"Total"	"Michigan"	"26"	"1978"	"1978"			1132	9205747	12.3	0.4%
"Total"	"Michigan"	"26"					11961	99244054	12.1	4.3%
	"Minnesota"	"27"	"1968"	"1968"	"Female"	"F"	71	1917731	3.7	0.0%
	"Minnesota"	"27"	"1968"	"1968"	"Male"	"M"	271	1840175	14.7	0.1%
"Total"	"Minnesota"	"27"	"1968"	"1968"			342	3757906	9.1	0.1%
	"Minnesota"	"27"	"1969"	"1969"	"Female"	"F"	81	1929940	4.2	0.0%
	"Minnesota"	"27"	"1969"	"1969"	"Male"	"M"	254	1850658	13.7	0.1%
"Total"	"Minnesota"	"27"	"1969"	"1969"			335	3780598	8.9	0.1%
	"Minnesota"	"27"	"1970"	"1970"	"Female"	"F"	92	1942511	4.7	0.0%
	"Minnesota"	"27"	"1970"	"1970"	"Male"	"M"	290	1865669	15.5	0.1%
"Total"	"Minnesota"	"27"	"1970"	"1970"			382	3808180	10.0	0.1%
	"Minnesota"	"27"	"1971"	"1971"	"Female"	"F"	98	1960833	5.0	0.0%
	"Minnesota"	"27"	"1971"	"1971"	"Male"	"M"	315	1887648	16.7	0.1%
"Total"	"Minnesota"	"27"	"1971"	"1971"			413	3848481	10.7	0.1%
	"Minnesota"	"27"	"1972"	"1972"	"Female"	"F"	92	1963777	4.7	0.0%
	"Minnesota"	"27"	"1972"	"1972"	"Male"	"M"	276	1894960	14.6	0.1%
"Total"	"Minnesota"	"27"	"1972"	"1972"			368	3858737	9.5	0.1%
	"Minnesota"	"27"	"1973"	"1973"	"Female"	"F"	97	1972318	4.9	0.0%
	"Minnesota"	"27"	"1973"	"1973"	"Male"	"M"	313	1903803	16.4	0.1%
"Total"	"Minnesota"	"27"	"1973"	"1973"			410	3876121	10.6	0.1%
	"Minnesota"	"27"	"1974"	"1974"	"Female"	"F"	88	1981522	4.4	0.0%
	"Minnesota"	"27"	"1974"	"1974"	"Male"	"M"	312	1912045	16.3	0.1%
"Total"	"Minnesota"	"27"	"1974"	"1974"			400	3893567	10.3	0.1%
	"Minnesota"	"27"	"1975"	"1975"	"Female"	"F"	109	1997513	5.5	0.0%
	"Minnesota"	"27"	"1975"	"1975"	"Male"	"M"	341	1925867	17.7	0.1%
"Total"	"Minnesota"	"27"	"1975"	"1975"			450	3923380	11.5	0.2%
	"Minnesota"	"27"	"1976"	"1976"	"Female"	"F"	89	2014155	4.4	0.0%
	"Minnesota"	"27"	"1976"	"1976"	"Male"	"M"	305	1941692	15.7	0.1%
"Total"	"Minnesota"	"27"	"1976"	"1976"			394	3955847	10.0	0.1%
	"Minnesota"	"27"	"1977"	"1977"	"Female"	"F"	91	2028520	4.5	0.0%
	"Minnesota"	"27"	"1977"	"1977"	"Male"	"M"	371	1954176	19.0	0.1%
"Total"	"Minnesota"	"27"	"1977"	"1977"			462	3982696	11.6	0.2%
	"Minnesota"	"27"	"1978"	"1978"	"Female"	"F"	100	2042321	4.9	0.0%
	"Minnesota"	"27"	"1978"	"1978"	"Male"	"M"	310	1965964	15.8	0.1%
"Total"	"Minnesota"	"27"	"1978"	"1978"			410	4008285	10.2	0.1%
"Total"	"Minnesota"	"27"					4366	42693798	10.2	1.6%
	"Mississippi"	"28"	"1968"	"1968"	"Female"	"F"	36	1116710	3.2	0.0%
	"Mississippi"	"28"	"1968"	"1968"	"Male"	"M"	113	1049818	10.8	0.0%
"Total"	"Mississippi"	"28"	"1968"	"1968"			149	2166528	6.9	0.1%
	"Mississippi"	"28"	"1969"	"1969"	"Female"	"F"	41	1133028	3.6	0.0%
	"Mississippi"	"28"	"1969"	"1969"	"Male"	"M"	133	1063928	12.5	0.0%
"Total"	"Mississippi"	"28"	"1969"	"1969"			174	2196956	7.9	0.1%
	"Mississippi"	"28"	"1970"	"1970"	"Female"	"F"	30	1146160	2.6	0.0%
	"Mississippi"	"28"	"1970"	"1970"	"Male"	"M"	122	1077981	11.3	0.0%
"Total"	"Mississippi"	"28"	"1970"	"1970"			152	2224141	6.8	0.1%
	"Mississippi"	"28"	"1971"	"1971"	"Female"	"F"	62	1169073	5.3	0.0%
	"Mississippi"	"28"	"1971"	"1971"	"Male"	"M"	146	1101963	13.2	0.1%
"Total"	"Mississippi"	"28"	"1971"	"1971"			208	2271036	9.2	0.1%
	"Mississippi"	"28"	"1972"	"1972"	"Female"	"F"	52	1188293	4.4	0.0%
	"Mississippi"	"28"	"1972"	"1972"	"Male"	"M"	152	1121624	13.6	0.1%
"Total"	"Mississippi"	"28"	"1972"	"1972"			204	2309917	8.8	0.1%
	"Mississippi"	"28"	"1973"	"1973"	"Female"	"F"	38	1209343	3.1	0.0%
	"Mississippi"	"28"	"1973"	"1973"	"Male"	"M"	166	1141454	14.5	0.1%
"Total"	"Mississippi"	"28"	"1973"	"1973"			204	2350797	8.7	0.1%
	"Mississippi"	"28"	"1974"	"1974"	"Female"	"F"	50	1225634	4.1	0.0%
	"Mississippi"	"28"	"1974"	"1974"	"Male"	"M"	163	1153809	14.1	0.1%
"Total"	"Mississippi"	"28"	"1974"	"1974"			213	2379443	9.0	0.1%
	"Mississippi"	"28"	"1975"	"1975"	"Female"	"F"	55	1238257	4.4	0.0%
	"Mississippi"	"28"	"1975"	"1975"	"Male"	"M"	184	1162477	15.8	0.1%
"Total"	"Mississippi"	"28"	"1975"	"1975"			239	2400734	10.0	0.1%
	"Mississippi"	"28"	"1976"	"1976"	"Female"	"F"	50	1255734	4.0	0.0%
	"Mississippi"	"28"	"1976"	"1976"	"Male"	"M"	166	1175739	14.1	0.1%
"Total"	"Mississippi"	"28"	"1976"	"1976"			216	2431473	8.9	0.1%
	"Mississippi"	"28"	"1977"	"1977"	"Female"	"F"	58	1273828	4.6	0.0%
	"Mississippi"	"28"	"1977"	"1977"	"Male"	"M"	187	1189761	15.7	0.1%
"Total"	"Mississippi"	"28"	"1977"	"1977"			245	2463589	9.9	0.1%
	"Mississippi"	"28"	"1978"	"1978"	"Female"	"F"	54	1289714	4.2	0.0%
	"Mississippi"	"28"	"1978"	"1978"	"Male"	"M"	177	1200732	14.7	0.1%
"Total"	"Mississippi"	"28"	"1978"	"1978"			231	2490446	9.3	0.1%
"Total"	"Mississippi"	"28"					2235	25685060	8.7	0.8%
	"Missouri"	"29"	"1968"	"1968"	"Female"	"F"	136	2394159	5.7	0.0%
	"Missouri"	"29"	"1968"	"1968"	"Male"	"M"	355	2239049	15.9	0.1%
"Total"	"Missouri"	"29"	"1968"	"1968"			491	4633208	10.6	0.2%
	"Missouri"	"29"	"1969"	"1969"	"Female"	"F"	113	2409658	4.7	0.0%
	"Missouri"	"29"	"1969"	"1969"	"Male"	"M"	336	2248326	14.9	0.1%
"Total"	"Missouri"	"29"	"1969"	"1969"			449	4657984	9.6	0.2%
	"Missouri"	"29"	"1970"	"1970"	"Female"	"F"	128	2423863	5.3	0.0%
	"Missouri"	"29"	"1970"	"1970"	"Male"	"M"	396	2260424	17.5	0.1%
"Total"	"Missouri"	"29"	"1970"	"1970"			524	4684287	11.2	0.2%
	"Missouri"	"29"	"1971"	"1971"	"Female"	"F"	121	2445962	4.9	0.0%
	"Missouri"	"29"	"1971"	"1971"	"Male"	"M"	359	2280711	15.7	0.1%
"Total"	"Missouri"	"29"	"1971"	"1971"			480	4726673	10.2	0.2%
	"Missouri"	"29"	"1972"	"1972"	"Female"	"F"	152	2458469	6.2	0.1%
	"Missouri"	"29"	"1972"	"1972"	"Male"	"M"	384	2293371	16.7	0.1%
"Total"	"Missouri"	"29"	"1972"	"1972"			536	4751840	11.3	0.2%
	"Missouri"	"29"	"1973"	"1973"	"Female"	"F"	141	2469328	5.7	0.1%
	"Missouri"	"29"	"1973"	"1973"	"Male"	"M"	420	2300934	18.3	0.2%
"Total"	"Missouri"	"29"	"1973"	"1973"			561	4770262	11.8	0.2%
	"Missouri"	"29"	"1974"	"1974"	"Female"	"F"	154	2477157	6.2	0.1%
	"Missouri"	"29"	"1974"	"1974"	"Male"	"M"	466	2306211	20.2	0.2%
"Total"	"Missouri"	"29"	"1974"	"1974"			620	4783368	13.0	0.2%
	"Missouri"	"29"	"1975"	"1975"	"Female"	"F"	157	2483781	6.3	0.1%
	"Missouri"	"29"	"1975"	"1975"	"Male"	"M"	398	2310175	17.2	0.1%
"Total"	"Missouri"	"29"	"1975"	"1975"			555	4793956	11.6	0.2%
	"Missouri"	"29"	"1976"	"1976"	"Female"	"F"	176	2499266	7.0	0.1%
	"Missouri"	"29"	"1976"	"1976"	"Male"	"M"	444	2325423	19.1	0.2%
"Total"	"Missouri"	"29"	"1976"	"1976"			620	4824689	12.9	0.2%
	"Missouri"	"29"	"1977"	"1977"	"Female"	"F"	163	2514417	6.5	0.1%
	"Missouri"	"29"	"1977"	"1977"	"Male"	"M"	464	2336367	19.9	0.2%
"Total"	"Missouri"	"29"	"1977"	"1977"			627	4850784	12.9	0.2%
	"Missouri"	"29"	"1978"	"1978"	"Female"	"F"	130	2528673	5.1	0.0%
	"Missouri"	"29"	"1978"	"1978"	"Male"	"M"	460	2347160	19.6	0.2%
"Total"	"Missouri"	"29"	"1978"	"1978"			590	4875833	12.1	0.2%
"Total"	"Missouri"	"29"					6053	52352884	11.6	2.2%
	"Montana"	"30"	"1968"	"1968"	"Female"	"F"	29	338418	8.6	0.0%
	"Montana"	"30"	"1968"	"1968"	"Male"	"M"	67	337852	19.8	0.0%
"Total"	"Montana"	"30"	"1968"	"1968"			96	676270	14.2	0.0%
	"Montana"	"30"	"1969"	"1969"	"Female"	"F"	25	343224	7.3	0.0%
	"Montana"	"30"	"1969"	"1969"	"Male"	"M"	65	342401	19.0	0.0%
"Total"	"Montana"	"30"	"1969"	"1969"			90	685625	13.1	0.0%
	"Montana"	"30"	"1970"	"1970"	"Female"	"F"	19	348020	5.5 (Unreliable)	0.0%
	"Montana"	"30"	"1970"	"1970"	"Male"	"M"	56	347603	16.1	0.0%
"Total"	"Montana"	"30"	"1970"	"1970"			75	695623	10.8	0.0%
	"Montana"	"30"	"1971"	"1971"	"Female"	"F"	28	355566	7.9	0.0%
	"Montana"	"30"	"1971"	"1971"	"Male"	"M"	88	356165	24.7	0.0%
"Total"	"Montana"	"30"	"1971"	"1971"			116	711731	16.3	0.0%
	"Montana"	"30"	"1972"	"1972"	"Female"	"F"	18	358863	5.0 (Unreliable)	0.0%
	"Montana"	"30"	"1972"	"1972"	"Male"	"M"	86	359983	23.9	0.0%
"Total"	"Montana"	"30"	"1972"	"1972"			104	718846	14.5	0.0%
	"Montana"	"30"	"1973"	"1973"	"Female"	"F"	25	362812	6.9	0.0%
	"Montana"	"30"	"1973"	"1973"	"Male"	"M"	81	364175	22.2	0.0%
"Total"	"Montana"	"30"	"1973"	"1973"			106	726987	14.6	0.0%
	"Montana"	"30"	"1974"	"1974"	"Female"	"F"	28	368365	7.6	0.0%
	"Montana"	"30"	"1974"	"1974"	"Male"	"M"	94	369340	25.5	0.0%
"Total"	"Montana"	"30"	"1974"	"1974"			122	737705	16.5	0.0%
	"Montana"	"30"	"1975"	"1975"	"Female"	"F"	28	374378	7.5	0.0%
	"Montana"	"30"	"1975"	"1975"	"Male"	"M"	87	374979	23.2	0.0%
"Total"	"Montana"	"30"	"1975"	"1975"			115	749357	15.3	0.0%
	"Montana"	"30"	"1976"	"1976"	"Female"	"F"	30	379723	7.9	0.0%
	"Montana"	"30"	"1976"	"1976"	"Male"	"M"	99	379745	26.1	0.0%
"Total"	"Montana"	"30"	"1976"	"1976"			129	759468	17.0	0.0%
	"Montana"	"30"	"1977"	"1977"	"Female"	"F"	22	386427	5.7	0.0%
	"Montana"	"30"	"1977"	"1977"	"Male"	"M"	118	386357	30.5	0.0%
"Total"	"Montana"	"30"	"1977"	"1977"			140	772784	18.1	0.1%
	"Montana"	"30"	"1978"	"1978"	"Female"	"F"	25	392845	6.4	0.0%
	"Montana"	"30"	"1978"	"1978"	"Male"	"M"	96	392456	24.5	0.0%
"Total"	"Montana"	"30"	"1978"	"1978"			121	785301	15.4	0.0%
"Total"	"Montana"	"30"					1214	8019697	15.1	0.4%
	"Nebraska"	"31"	"1968"	"1968"	"Female"	"F"	43	750084	5.7	0.0%
	"Nebraska"	"31"	"1968"	"1968"	"Male"	"M"	95	715887	13.3	0.0%
"Total"	"Nebraska"	"31"	"1968"	"1968"			138	1465971	9.4	0.0%
	"Nebraska"	"31"	"1969"	"1969"	"Female"	"F"	36	755401	4.8	0.0%
	"Nebraska"	"31"	"1969"	"1969"	"Male"	"M"	117	720327	16.2	0.0%
"Total"	"Nebraska"	"31"	"1969"	"1969"			153	1475728	10.4	0.1%
	"Nebraska"	"31"	"1970"	"1970"	"Female"	"F"	40	760633	5.3	0.0%
	"Nebraska"	"31"	"1970"	"1970"	"Male"	"M"	128	726337	17.6	0.0%
"Total"	"Nebraska"	"31"	"1970"	"1970"			168	1486970	11.3	0.1%
	"Nebraska"	"31"	"1971"	"1971"	"Female"	"F"	43	769469	5.6	0.0%
	"Nebraska"	"31"	"1971"	"1971"	"Male"	"M"	118	735944	16.0	0.0%
"Total"	"Nebraska"	"31"	"1971"	"1971"			161	1505413	10.7	0.1%
	"Nebraska"	"31"	"1972"	"1972"	"Female"	"F"	34	774684	4.4	0.0%
	"Nebraska"	"31"	"1972"	"1972"	"Male"	"M"	108	742563	14.5	0.0%
"Total"	"Nebraska"	"31"	"1972"	"1972"			142	1517247	9.4	0.1%
	"Nebraska"	"31"	"1973"	"1973"	"Female"	"F"	29	779767	3.7	0.0%
	"Nebraska"	"31"	"1973"	"1973"	"Male"	"M"	130	747211	17.4	0.0%
"Total"	"Nebraska"	"31"	"1973"	"1973"			159	1526978	10.4	0.1%
	"Nebraska"	"31"	"1974"	"1974"	"Female"	"F"	32	785265	4.1	0.0%
	"Nebraska"	"31"	"1974"	"1974"	"Male"	"M"	128	752158	17.0	0.0%
"Total"	"Nebraska"	"31"	"1974"	"1974"			160	1537423	10.4	0.1%
	"Nebraska"	"31"	"1975"	"1975"	"Female"	"F"	39	787907	4.9	0.0%
	"Nebraska"	"31"	"1975"	"1975"	"Male"	"M"	122	753578	16.2	0.0%
"Total"	"Nebraska"	"31"	"1975"	"1975"			161	1541485	10.4	0.1%
